,AC ID,Actual Departure Time,Arrival Time,Fuel Consumed
0,KLM01-02,,01-Sep-2017 01:49:01,-60300.
1,KLM02-02,,01-Sep-2017 02:05:01,-60300.
2,KLM02-01,01-Sep-2017 02:05:00,01-Sep-2017 02:05:01,0.
3,KLM03-01,,01-Sep-2017 02:36:01,-60300.
4,KLM03-02,01-Sep-2017 02:36:00,01-Sep-2017 02:36:01,0.
